Centis,Quantidade de Declarantes,Soma de RB4 do Centil,Rendimento Tributável,Base de Cálculo,Aluguel,Previdência Oficial,Previdência RRA,Previdência Privada,Dependentes,Instrução,Despesas Médicas,Pensão Alimentícia,Livro-Caixa,Imóveis,Móveis,Financeiros,Outros Bens e Direitos,13º salário,Rendimentos de Aplicações Financeiras,Ganhos de Capital na Alienação de Bens/Direitos,Participação nos Lucros ou Resultados,Rendimentos Recebidos Acumuladamente,Ganhos Líquidos em Renda Variável,Juros sobre Capital Próprio,Outros,Rendimentos Sujeitos à Tributação Exclusiva,Imposto Devido,Lucros e Dividendos,Rendim. Sócio/Titular ME/EPP Opt SIMPLES,Transf. Patrimoniais doações e heranças,Parcela isenta de aposentadoria etc,Parcela isenta da Atividade Rural,"Pensão, proventos de aposentadoria etc",Indenização por Rescisão do Contrato de Trabalho etc,Rendimentos de Caderneta de  Poupança etc,Incorporação de Reservas de Capital/Bonificações em Ações,Outros Rendimentos Isentos,Dívida
63,384.167,29046300000,21999950000,16595450000,275500000,771870000,630000,33260000,364730000,267960000,1110850000,147800000,43460000,30220020000,6989460000,16333300000,2881760000,1361380000,253150000,15210000,309110000,82020000,2940000,7980000,73080000,2104870000,1120690000,477040000,880180000,584370000,1496550000,155590000,374650000,233080000,311970000,680000,1011730000,5738820000
64,384.168,29756970000,22595660000,17045990000,289400000,789410000,1010000,34380000,368510000,276040000,1134920000,146470000,49000000,31397430000,7177210000,16851270000,2983610000,1378960000,265570000,15220000,311900000,81030000,3260000,8540000,74930000,2139410000,1213720000,501370000,899630000,595710000,1441900000,164570000,385350000,240570000,318550000,640000,1069320000,6024070000
65,384.167,30481520000,22649840000,17094140000,279830000,804470000,740000,35940000,366010000,278830000,1142340000,147120000,46840000,32062720000,7274120000,17199420000,2798100000,1384100000,272380000,15780000,318980000,84310000,3350000,8130000,75160000,2162190000,1266050000,687300000,1338480000,594240000,1415310000,173210000,398550000,234730000,318540000,700000,1102660000,6294370000
66,384.168,31221560000,23328170000,17604380000,281940000,841330000,810000,36890000,372300000,285480000,1185800000,153400000,50930000,33270180000,7471630000,17149310000,7135050000,1427040000,289660000,17950000,329340000,90650000,4230000,8750000,77880000,2245500000,1367580000,644600000,1247940000,641470000,1421390000,189410000,407100000,241600000,335650000,920000,1159260000,6551040000
67,384.168,32020260000,24389710000,18394240000,306900000,907190000,1020000,41820000,385070000,305990000,1227930000,183950000,56090000,34809810000,8997080000,20774420000,4736710000,1470400000,303310000,20730000,344470000,99860000,3730000,9350000,77350000,2329200000,1509120000,527380000,914920000,724440000,1407090000,211080000,416870000,251320000,354530000,980000,1217160000,7130200000
68,384.167,32848890000,25011120000,18862370000,310000000,910450000,1130000,45860000,388330000,311830000,1265400000,169830000,57060000,37578700000,8101050000,21333740000,6355240000,1472120000,320420000,21420000,354360000,103920000,4190000,10210000,81900000,2368540000,1625680000,565580000,991660000,670770000,1376420000,242710000,424460000,252700000,366980000,850000,1247860000,7163840000
69,384.168,33738920000,25469380000,19209070000,315040000,954600000,1890000,48770000,393910000,318940000,1303530000,179760000,56820000,36655800000,8239460000,41647870000,3582020000,1530090000,341750000,22750000,377240000,120730000,4200000,10870000,84120000,2491750000,1708500000,607840000,1033420000,788780000,1427150000,237560000,452960000,271140000,386640000,1130000,1359950000,6838400000
70,384.168,34669800000,26146940000,19755420000,318760000,973970000,1010000,52010000,395520000,320960000,1333240000,179660000,62590000,37390360000,8229680000,20507980000,9027930000,1571370000,356650000,24880000,392640000,146550000,4840000,11340000,90770000,2599040000,1852850000,632880000,1071260000,753580000,1435180000,256360000,499560000,272360000,394570000,1270000,1360390000,7381850000
71,384.167,35660830000,26979310000,20409830000,339620000,1038640000,970000,56220000,407390000,337220000,1384030000,193690000,66890000,38523890000,8361860000,24171080000,3850790000,1622460000,383080000,27720000,418400000,130900000,5290000,12280000,94150000,2694280000,2000970000,615920000,1055060000,793430000,1414020000,282110000,490950000,280830000,415420000,1110000,1431820000,7947980000
72,384.168,36702270000,27229750000,20659980000,350050000,1076370000,1560000,64460000,406510000,338590000,1398830000,188940000,77850000,38766450000,8543780000,50035590000,3959630000,1616380000,400060000,28720000,436180000,303770000,5280000,12380000,101060000,2903830000,2114070000,759400000,1305030000,757460000,1412280000,309860000,515400000,292330000,430430000,1300000,1542660000,8030530000
